Gênesis (GEN)
Capítulo 34: 31
Capítulo 35: 15
Capítulo 36: 38
Capítulo 37: 28
Capítulo 38: 23
Capítulo 39: 29
Capítulo 40: 49
Capítulo 41: 26
Capítulo 42: 20
Capítulo 43: 27
Capítulo 44: 31
Capítulo 45: 25
Capítulo 46: 24
Capítulo 47: 23
Capítulo 48: 35

Daniel (DAN)
Capítulos: 12
Versículos por capítulo:
Capítulo 1: 21
Capítulo 2: 49
Capítulo 3: 30
Capítulo 4: 37
Capítulo 5: 31
Capítulo 6: 28
Capítulo 7: 28
Capítulo 8: 27
Capítulo 9: 27
Capítulo 10: 21
Capítulo 11: 45
Capítulo 12: 13

Oséias (HOS)
Capítulos: 14
Versículos por capítulo:
Capítulo 1: 11
Capítulo 2: 23
Capítulo 3: 5
Capítulo 4: 19
Capítulo 5: 15
Capítulo 6: 11
Capítulo 7: 16
Capítulo 8: 14
Capítulo 9: 17
Capítulo 10: 15
Capítulo 11: 12
Capítulo 12: 14
Capítulo 13: 16
Capítulo 14: 9

Joel (JOL)
Capítulos: 3
Versículos por capítulo:
Capítulo 1: 20
Capítulo 2: 32
Capítulo 3: 21

Amós (AMO)
Capítulos: 9
Versículos por capítulo:
Capítulo 1: 15
Capítulo 2: 16
Capítulo 3: 15
Capítulo 4: 13
Capítulo 5: 27
Capítulo 6: 14
Capítulo 7: 17
Capítulo 8: 14
Capítulo 9: 15

Obadias (OBA)
Capítulos: 1
Versículos por capítulo:
Capítulo 1: 21

Jonas (JON)
Capítulos: 4
Versículos por capítulo:
Capítulo 1: 17
Capítulo 2: 10
Capítulo 3: 10
Capítulo 4: 11

Miquéias (MIC)
Capítulos: 7
Versículos por capítulo:
Capítulo 1: 16
Capítulo 2: 13
Capítulo 3: 12
Capítulo 4: 13
Capítulo 5: 15
Capítulo 6: 16
Capítulo 7: 20

Naum (NAM)
Capítulos: 3
Versículos por capítulo:
Capítulo 1: 15
Capítulo 2: 13
Capítulo 3: 19

Habacuque (HAB)
Capítulos: 3
Versículos por capítulo:
Capítulo 1: 17
Capítulo 2: 20
Capítulo 3: 19

Sofonias (ZEP)
Capítulos: 3
Versículos por capítulo:
Capítulo 1: 18
Capítulo 2: 15
Capítulo 3: 20

Ageu (HAG)
Capítulos: 2
Versículos por capítulo:
Capítulo 1: 15
Capítulo 2: 23

Zacarias (ZEC)
Capítulos: 14
Versículos por capítulo:
Capítulo 1: 21
Capítulo 2: 13
Capítulo 3: 10
Capítulo 4: 14
Capítulo 5: 11
Capítulo 6: 15
Capítulo 7: 14
Capítulo 8: 23
Capítulo 9: 17
Capítulo 10: 12
Capítulo 11: 17
Capítulo 12: 14
Capítulo 13: 9
Capítulo 14: 21

Malaquias (MAL)
Capítulos: 4
Versículos por capítulo:
Capítulo 1: 14
Capítulo 2: 17
Capítulo 3: 18
Capítulo 4: 6
